,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
98765-rad,348-004,en,fc,,30,f2,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.818,0.5
98765-rad,348-004,en,fc,,30,rec,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.818,0.5
98765-rad,348-004,en,fc,,60,pre,1,1,1,1,1,1,0.779,0.727,0.865,0.79,0.833,0.82,0.5
38324-rad,348-008,p,c,smote,15,f2,1,1,1,1,1,1,0.948,0.833,0.833,0.833,0.833,0.936,
38324-rad,348-008,p,c,smote,15,rec,1,1,1,1,1,1,0.948,0.833,0.833,0.833,0.833,0.936,
24-ang,348-004,ea,f,,300,f2,1,1,1,1,1,1,0.844,0.833,0.833,0.833,0.833,0.862,1
1379-rad,348-004,r,,,100,pre,0.911,0.838,1,0.912,0.963,0.973,0.779,0.727,0.865,0.79,0.833,0.765,1
65536-ang,348-008,z,f,adasyns,30,rec,1,1,1,1,1,1,0.896,0.5,1,0.667,0.833,0.975,
38324-ang,348-004,ea,c,,300,acc,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.854,1
38324-ang,348-004,m,,,60,f2,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.869,1
38324-rad,348-004,p,f,,300,f2,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.891,1
38324-rad,348-004,p,f,,300,rec,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.891,1
38324-rad,348-004,p,f,,300,acc,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.891,1
38324-ang,348-004,m,c,,300,pre,1,1,1,1,1,1,0.818,0.763,0.853,0.806,0.833,0.867,1
1379-ang,348-004,ea,f,,30,rec,0.989,0.992,0.984,0.988,0.985,0.998,0.831,0.816,0.838,0.827,0.833,0.866,1
1379-ang,348-004,r,fc,,300,pre,1,1,1,1,1,1,0.831,0.816,0.838,0.827,0.833,0.876,1
98765-rad,348-004,ea,fc,,15,acc,1,1,1,1,1,1,0.766,0.711,0.865,0.78,0.829,0.792,1
98765-ang,348-004,ie,fc,,15,acc,1,1,1,1,1,1,0.766,0.711,0.865,0.78,0.829,0.83,1
98765-rad,348-004,ie,f,,300,pre,1,1,1,1,1,1,0.766,0.711,0.865,0.78,0.829,0.758,0.5
1379-rad,348-004,r,,,100,rec,0.911,0.842,0.992,0.911,0.958,0.973,0.766,0.711,0.865,0.78,0.829,0.729,1
14122-rad,348-004,m,f,,30,acc,1,1,1,1,1,1,0.779,0.721,0.861,0.785,0.829,0.864,0.5
14122-ang,348-004,ea,fc,,30,f2,1,1,1,1,1,1,0.779,0.721,0.861,0.785,0.829,0.858,0.5
24-ang,348-004,ea,f,,30,rec,1,1,1,1,1,1,0.831,0.811,0.833,0.822,0.829,0.857,0.5
