,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
24-ang,348-008,ie,f,adasyns,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.719,
24-ang,348-008,ie,f,smote,100,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.767,
24-ang,348-008,ie,f,rando,100,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.804,
24-ang,348-008,ie,f,adasyns,60,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.757,
24-ang,348-008,ie,f,smote,100,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.769,
24-ang,348-008,ie,f,rando,100,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.804,
24-rad,348-008,en,f,adasyns,100,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.761,
24-rad,348-008,en,f,adasyns,60,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.762,
24-rad,348-008,en,f,smote,30,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.772,
24-rad,348-008,en,f,rando,15,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.71,
24-rad,348-008,en,f,rando,100,rec,0.989,0.979,1,0.989,0.996,0.999,0.831,0.583,0.467,0.519,0.486,0.81,
24-rad,348-008,en,f,smote,30,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.72,
24-rad,348-008,en,f,adasyns,60,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.762,
24-rad,348-008,en,f,adasyns,60,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.762,
24-rad,348-008,r,c,rando,100,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.901,
24-rad,348-008,r,c,smote,15,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.808,
24-rad,348-008,p,c,adasyns,60,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.902,
24-rad,348-008,p,c,rando,15,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.908,
24-ang,348-008,r,c,smote,200,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.884,
24-ang,348-008,r,c,adasyns,15,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.86,
24-ang,348-008,r,c,smote,300,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.828,
24-ang,348-008,r,c,smote,200,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.865,
24-rad,348-008,z,f,smote,30,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.738,
24-rad,348-008,z,f,smote,30,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.738,
24-rad,348-008,en,fc,adasyns,60,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.822,
24-rad,348-008,en,fc,smote,30,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.84,
24-rad,348-008,en,fc,rando,300,rec,0.996,0.992,1,0.996,0.998,1,0.831,0.583,0.467,0.519,0.486,0.82,
24-rad,348-008,en,fc,adasyns,15,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.837,
24-rad,348-008,en,fc,adasyns,100,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.824,
24-ang,348-008,p,fc,adasyns,200,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.84,
24-ang,348-008,p,fc,rando,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.741,
24-ang,348-008,p,fc,rando,60,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.8,
24-ang,348-008,ea,fc,adasyns,300,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.826,
1379-rad,348-008,p,c,smote,60,f2,1,1,1,1,1,1,0.792,0.438,0.5,0.467,0.486,0.857,
1379-rad,348-008,p,c,smote,60,rec,1,1,1,1,1,1,0.792,0.438,0.5,0.467,0.486,0.857,
1379-rad,348-008,p,c,adasyns,60,acc,1,1,1,1,1,1,0.792,0.438,0.5,0.467,0.486,0.813,
24-rad,348-008,r,fc,smote,300,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.846,
24-rad,348-008,ea,c,rando,15,rec,0.998,0.996,1,0.998,0.999,1,0.831,0.583,0.467,0.519,0.486,0.802,
24-rad,348-008,ea,c,rando,100,rec,0.987,0.975,1,0.987,0.995,1,0.831,0.583,0.467,0.519,0.486,0.811,
24-rad,348-008,ea,c,smote,30,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.78,
1379-rad,348-008,p,,adasyns,300,f2,1,1,1,1,1,1,0.792,0.438,0.5,0.467,0.486,0.771,
24-ang,348-008,m,,adasyns,200,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.782,
24-ang,348-008,m,,adasyns,200,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.77,
24-ang,348-008,m,f,adasyns,60,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.791,
24-ang,348-008,m,f,adasyns,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.797,
24-ang,348-008,m,f,smote,100,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.781,
24-ang,348-008,m,f,smote,100,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.771,
24-ang,348-008,m,f,adasyns,60,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.765,
24-rad,348-008,ie,fc,adasyns,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.798,
24-rad,348-008,ea,fc,rando,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.77,
24-ang,348-008,p,c,smote,30,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.87,
24-ang,348-008,p,c,rando,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.865,
24-ang,348-008,p,c,smote,30,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.88,
24-ang,348-008,p,c,smote,15,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.891,
24-ang,348-008,en,fc,adasyns,300,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.761,
24-ang,348-008,en,fc,smote,60,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.804,
24-ang,348-008,en,f,rando,30,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.771,
24-ang,348-008,en,f,adasyns,300,rec,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.715,
24-ang,348-008,en,f,rando,15,rec,0.991,0.983,1,0.992,0.997,1,0.831,0.583,0.467,0.519,0.486,0.765,
24-ang,348-008,en,f,rando,30,pre,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.771,
24-ang,348-008,en,f,smote,15,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.74,
24-ang,348-008,en,f,rando,30,acc,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.771,
24-rad,348-008,p,,smote,60,f2,1,1,1,1,1,1,0.831,0.583,0.467,0.519,0.486,0.826,
38324-rad,348-004,r,c,,30,f2,1,1,1,1,1,1,0.597,0.552,0.471,0.508,0.485,0.731,1
38324-rad,348-004,r,c,,30,rec,1,1,1,1,1,1,0.597,0.552,0.471,0.508,0.485,0.731,1
1379-ang,348-008,m,fc,rando,300,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.872,
1379-ang,348-008,m,fc,rando,300,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.842,
1379-ang,348-008,m,fc,rando,300,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.872,
1379-ang,348-008,m,fc,rando,300,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.872,
14122-ang,348-008,ea,,adasyns,100,pre,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.636,
14122-ang,348-008,ea,,adasyns,100,acc,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.636,
1379-rad,348-008,m,fc,rando,15,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.906,
1379-rad,348-008,m,fc,rando,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.917,
1379-rad,348-008,m,fc,rando,30,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.859,
1379-rad,348-008,m,fc,adasyns,300,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.879,
1379-rad,348-008,m,fc,rando,200,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.917,
1379-rad,348-008,m,fc,adasyns,300,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.864,
1379-rad,348-008,m,fc,rando,200,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.917,
14122-rad,348-008,en,c,rando,100,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.738,
38324-ang,348-008,ie,,smote,30,rec,0.961,0.942,0.983,0.962,0.974,0.996,0.818,0.429,0.5,0.462,0.484,0.781,
14122-rad,348-008,en,fc,adasyns,60,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.833,
14122-rad,348-008,ea,,smote,100,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.786,
14122-ang,348-008,r,f,rando,200,pre,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.828,
1379-rad,348-008,ie,fc,adasyns,200,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.849,
1379-rad,348-008,ie,fc,smote,200,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.837,
1379-rad,348-008,m,f,rando,100,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.88,
1379-rad,348-008,m,f,rando,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.796,
1379-rad,348-008,m,f,smote,30,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.873,
1379-rad,348-008,m,f,adasyns,200,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.795,
1379-rad,348-008,m,f,adasyns,300,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.868,
1379-rad,348-008,m,f,smote,100,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.83,
1379-rad,348-008,m,f,rando,100,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.88,
1379-rad,348-008,m,f,rando,200,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.81,
1379-rad,348-008,m,f,smote,100,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.83,
1379-rad,348-008,m,f,rando,100,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.88,
14122-ang,348-008,ie,fc,adasyns,15,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.784,
14122-ang,348-008,ie,fc,smote,30,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.782,
14122-ang,348-008,ie,fc,smote,200,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.776,
14122-ang,348-008,ie,fc,adasyns,15,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.784,
14122-ang,348-008,ie,fc,adasyns,15,pre,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.798,
14122-ang,348-008,ie,fc,smote,15,pre,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.804,
14122-ang,348-008,ie,fc,smote,15,acc,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.804,
98765-rad,348-008,p,c,adasyns,200,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.915,
1379-rad,348-008,ea,fc,adasyns,300,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.873,
38324-rad,348-008,p,,rando,15,rec,0.985,0.971,1,0.985,0.994,1,0.818,0.429,0.5,0.462,0.484,0.744,
38324-rad,348-008,z,fc,rando,100,rec,0.994,0.987,1,0.994,0.997,1,0.818,0.429,0.5,0.462,0.484,0.813,
14122-rad,348-008,ea,fc,smote,30,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.821,
14122-rad,348-008,ea,fc,smote,15,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.837,
14122-ang,348-008,p,fc,adasyns,15,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.894,
14122-ang,348-008,p,fc,adasyns,15,acc,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.894,
38324-rad,348-008,z,,rando,100,rec,0.998,0.996,1,0.998,0.999,1,0.818,0.429,0.5,0.462,0.484,0.722,
14122-ang,348-008,z,f,adasyns,200,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.861,
14122-ang,348-008,z,f,adasyns,200,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.862,
98765-ang,348-008,z,,rando,100,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.757,
98765-ang,348-008,m,fc,rando,200,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.871,
14122-ang,348-008,m,f,adasyns,30,f2,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.857,
14122-ang,348-008,m,f,adasyns,30,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.831,
14122-ang,348-008,m,f,adasyns,30,pre,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.849,
1379-ang,348-008,ea,c,adasyns,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.771,
38324-rad,348-008,ie,c,adasyns,100,acc,1,1,1,1,1,1,0.818,0.429,0.5,0.462,0.484,0.791,
14122-rad,348-008,p,fc,rando,300,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.821,
14122-ang,348-008,en,f,adasyns,100,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.823,
14122-ang,348-008,en,f,smote,300,rec,1,1,1,1,1,1,0.857,0.6,0.462,0.522,0.484,0.858,
1379-rad,348-008,m,,adasyns,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.79,
1379-rad,348-008,m,,rando,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.756,
1379-rad,348-008,m,,rando,300,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.773,
1379-rad,348-008,m,,rando,200,acc,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.791,
1379-rad,348-008,m,c,smote,200,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.808,
1379-rad,348-008,m,c,rando,100,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.769,
1379-rad,348-008,m,c,rando,60,f2,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.79,
1379-rad,348-008,m,c,adasyns,200,rec,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.841,
1379-rad,348-008,m,c,smote,200,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.803,
1379-rad,348-008,m,c,adasyns,300,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.81,
1379-rad,348-008,m,c,rando,100,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.769,
1379-rad,348-008,m,c,rando,60,pre,1,1,1,1,1,1,0.896,1,0.429,0.6,0.484,0.79,
1379-rad,348-004,ea,,,60,acc,1,1,1,1,1,1,0.597,0.607,0.459,0.523,0.483,0.649,0.5
1379-ang,348-004,en,,,30,acc,0.749,0.764,0.653,0.704,0.673,0.821,0.597,0.607,0.459,0.523,0.483,0.602,0.5
24-rad,348-008,z,,adasyns,30,pre,0.892,0.844,0.967,0.901,0.939,0.97,0.714,0.348,0.533,0.421,0.482,0.739,
24-rad,348-008,z,,adasyns,30,acc,0.882,0.829,0.967,0.892,0.935,0.96,0.714,0.348,0.533,0.421,0.482,0.749,
38324-rad,348-008,en,,adasyns,30,acc,0.811,0.727,1,0.842,0.93,0.928,0.597,0.229,0.667,0.34,0.482,0.691,
1379-ang,348-008,z,,rando,200,rec,0.852,0.772,1,0.871,0.944,0.934,0.675,0.296,0.571,0.39,0.482,0.704,
38324-rad,348-004,ie,,,30,pre,1,1,1,1,1,1,0.584,0.533,0.471,0.5,0.482,0.682,0
24-rad,348-004,ea,,,30,pre,1,1,1,1,1,1,0.662,0.727,0.444,0.552,0.482,0.758,0.5
14122-rad,348-008,z,,smote,30,f2,0.647,0.587,0.991,0.737,0.871,0.701,0.416,0.192,0.769,0.308,0.481,0.565,
14122-rad,348-008,z,,smote,60,f2,0.651,0.589,1,0.741,0.877,0.707,0.416,0.192,0.769,0.308,0.481,0.572,
14122-rad,348-008,z,,smote,15,f2,0.647,0.587,0.991,0.737,0.871,0.7,0.416,0.192,0.769,0.308,0.481,0.556,
14122-rad,348-008,z,,smote,30,rec,0.651,0.589,1,0.741,0.877,0.707,0.416,0.192,0.769,0.308,0.481,0.575,
14122-rad,348-008,z,,smote,60,rec,0.651,0.589,1,0.741,0.877,0.707,0.416,0.192,0.769,0.308,0.481,0.572,
14122-rad,348-008,z,,smote,15,rec,0.647,0.587,0.991,0.737,0.871,0.7,0.416,0.192,0.769,0.308,0.481,0.559,
14122-rad,348-008,z,,smote,15,pre,0.647,0.587,0.991,0.737,0.871,0.7,0.416,0.192,0.769,0.308,0.481,0.559,
14122-rad,348-008,z,,smote,30,acc,0.649,0.588,0.996,0.739,0.874,0.7,0.416,0.192,0.769,0.308,0.481,0.557,
14122-rad,348-008,z,,smote,60,acc,0.649,0.587,1,0.74,0.877,0.697,0.416,0.192,0.769,0.308,0.481,0.561,
14122-rad,348-008,z,,smote,15,acc,0.647,0.587,0.991,0.737,0.871,0.7,0.416,0.192,0.769,0.308,0.481,0.556,
14122-rad,348-008,z,,adasyns,30,acc,0.65,0.588,1,0.74,0.877,0.713,0.416,0.192,0.769,0.308,0.481,0.569,
14122-rad,348-008,z,,adasyns,60,acc,0.646,0.586,0.991,0.736,0.871,0.707,0.416,0.192,0.769,0.308,0.481,0.55,
65536-ang,348-008,z,,smote,15,rec,0.998,1,0.996,0.998,0.996,1,0.766,0.25,0.625,0.357,0.481,0.721,
1379-rad,348-004,ea,,,30,f2,0.801,0.807,0.742,0.773,0.754,0.904,0.584,0.586,0.459,0.515,0.48,0.644,0.5
1379-rad,348-004,ea,,,30,rec,0.801,0.807,0.742,0.773,0.754,0.904,0.584,0.586,0.459,0.515,0.48,0.644,0.5
1379-ang,348-004,ie,,,30,acc,0.742,0.76,0.637,0.693,0.658,0.813,0.584,0.586,0.459,0.515,0.48,0.586,1
98765-rad,348-004,ie,f,,60,f2,0.554,0.516,0.395,0.447,0.415,0.564,0.584,0.586,0.459,0.515,0.48,0.589,0.5
98765-rad,348-004,ie,f,,60,rec,0.554,0.516,0.395,0.447,0.415,0.564,0.584,0.586,0.459,0.515,0.48,0.589,0.5
24-rad,348-004,ie,,,30,pre,0.779,0.769,0.744,0.756,0.749,0.861,0.545,0.515,0.472,0.493,0.48,0.58,0.5
24-ang,348-008,ie,fc,adasyns,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.824,
24-ang,348-008,ie,fc,rando,300,rec,0.998,0.996,1,0.998,0.999,1,0.818,0.538,0.467,0.5,0.479,0.77,
24-ang,348-008,ie,fc,adasyns,100,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.81,
24-ang,348-008,p,,adasyns,15,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.833,
98765-rad,348-008,p,,adasyns,60,f2,1,1,1,1,1,1,0.779,0.412,0.5,0.452,0.479,0.73,
24-rad,348-008,p,f,smote,300,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.874,
24-rad,348-008,m,,smote,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.762,
24-rad,348-008,m,,adasyns,60,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.691,
24-rad,348-008,m,,smote,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.762,
24-rad,348-008,r,,smote,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.842,
24-rad,348-008,r,,smote,60,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.847,
24-rad,348-008,r,,smote,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.845,
24-ang,348-008,r,,smote,300,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.839,
24-ang,348-008,r,,smote,300,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.837,
24-ang,348-008,r,,smote,300,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.837,
24-ang,348-008,m,c,adasyns,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.74,
24-ang,348-008,p,f,adasyns,300,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.841,
24-ang,348-008,p,f,adasyns,300,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.841,
24-ang,348-008,m,fc,adasyns,100,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.817,
98765-rad,348-008,p,c,rando,30,rec,0.994,0.987,1,0.994,0.997,1,0.779,0.412,0.5,0.452,0.479,0.768,
24-ang,348-008,z,c,rando,100,rec,0.998,0.996,1,0.998,0.999,1,0.818,0.538,0.467,0.5,0.479,0.861,
98765-ang,348-008,p,fc,rando,15,rec,0.981,0.963,1,0.981,0.992,0.998,0.779,0.412,0.5,0.452,0.479,0.753,
24-ang,348-008,ea,f,adasyns,30,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.728,
24-ang,348-008,ea,f,smote,200,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.715,
24-ang,348-008,ea,f,adasyns,30,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.728,
24-ang,348-008,ie,f,rando,100,rec,0.996,0.992,1,0.996,0.998,1,0.818,0.538,0.467,0.5,0.479,0.758,
24-rad,348-008,en,f,rando,30,rec,0.996,0.992,1,0.996,0.998,1,0.818,0.538,0.467,0.5,0.479,0.723,
24-rad,348-008,en,f,rando,60,rec,0.998,0.996,1,0.998,0.999,1,0.818,0.538,0.467,0.5,0.479,0.798,
24-rad,348-008,r,c,smote,30,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.852,
24-rad,348-008,r,c,smote,30,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.844,
24-rad,348-008,p,c,adasyns,60,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.93,
24-ang,348-008,r,c,smote,100,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.859,
24-ang,348-008,r,c,smote,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.91,
24-rad,348-008,z,f,smote,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.701,
24-rad,348-008,z,f,smote,30,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.735,
24-rad,348-008,z,f,smote,60,rec,0.994,0.991,0.996,0.994,0.995,1,0.818,0.538,0.467,0.5,0.479,0.704,
24-rad,348-008,z,f,adasyns,15,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.751,
24-rad,348-008,en,fc,adasyns,15,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.819,
24-rad,348-008,en,fc,rando,30,rec,0.996,0.992,1,0.996,0.998,1,0.818,0.538,0.467,0.5,0.479,0.723,
24-rad,348-008,en,fc,rando,100,rec,0.996,0.992,1,0.996,0.998,1,0.818,0.538,0.467,0.5,0.479,0.804,
24-rad,348-008,en,fc,adasyns,30,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.784,
24-rad,348-008,en,fc,rando,200,rec,0.994,0.987,1,0.994,0.997,1,0.818,0.538,0.467,0.5,0.479,0.814,
24-rad,348-008,en,fc,rando,60,rec,0.998,0.996,1,0.998,0.999,1,0.818,0.538,0.467,0.5,0.479,0.81,
24-rad,348-008,en,fc,smote,60,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.748,
24-rad,348-008,en,fc,adasyns,15,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.822,
24-rad,348-008,en,fc,adasyns,60,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.787,
24-rad,348-008,en,fc,adasyns,15,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.819,
24-rad,348-008,en,fc,adasyns,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.814,
24-ang,348-008,ea,fc,smote,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.747,
1379-rad,348-008,p,c,adasyns,60,pre,1,1,1,1,1,1,0.779,0.412,0.5,0.452,0.479,0.834,
24-rad,348-008,ea,c,smote,60,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.804,
24-rad,348-008,ea,c,adasyns,15,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.77,
24-rad,348-008,ea,c,smote,15,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.788,
24-rad,348-008,ea,c,adasyns,30,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.76,
24-rad,348-008,ea,c,smote,30,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.82,
24-rad,348-008,ea,c,smote,60,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.804,
24-rad,348-008,ea,c,adasyns,15,rec,0.974,0.958,0.991,0.974,0.984,0.996,0.818,0.538,0.467,0.5,0.479,0.799,
24-rad,348-008,ea,c,smote,15,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.788,
24-rad,348-008,ea,c,smote,60,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.804,
24-rad,348-008,ea,f,adasyns,200,acc,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.769,
98765-ang,348-008,en,fc,rando,200,rec,0.948,0.907,1,0.951,0.98,0.996,0.779,0.412,0.5,0.452,0.479,0.766,
24-ang,348-008,m,f,adasyns,100,rec,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.778,
24-ang,348-008,m,f,adasyns,60,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.775,
24-ang,348-008,en,fc,adasyns,200,f2,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.754,
24-ang,348-008,en,fc,adasyns,300,pre,1,1,1,1,1,1,0.818,0.538,0.467,0.5,0.479,0.766,
